Skills,SkillsValues
exterity,1
"â€¢	call",1
nice,2
"â€¢	ios/android",1
nyc-based,1
"â€¢	works",1
reaching,2
femaâ€™s,1
"	management",1
structur,2
extensible,2
jqueryui,1
telerik,1
web/desktop/mobile,2
wpf,1
3.0-5.0,2
nhibernate,1
css2,1
ui/ux,1
early-childhood,2
maternal-child,2
â€¢computer,1
proficiencies,4
â€¢accuracy,1
â€¢keen,1
shelf,2
cots,1
builders,2
xaml,1
styles,1
c++,1
reusable,2
gateways,2
dbs,1
uspsã¢â‚¬â¦etc,1
"1.	familiarity",1
geodatabases,2
"6.	organized",1
sanitarian,1
"â€¢	posses",1
certification(s,2
cma,1
"â€¢	this",1
create/execute,2
utilities/public,2
"â€¢	conflict",1
in:,4
linux/unix,1
switches/routers,1
riverbed,1
sever,1
management/monitoring,2
creating/presenting,2
orthopedics,1
v3/2011,2
optimize,2
ci,1
itom/orchestration,1
tools/integrations,2
"â€¢	architecture",1
"â€¢	large",1
"â€¢	service",1
sciencelogic,1
vertical,2
restaurant,4
spoken,2
outsourced,2
7.3,2
7.i,1
lpar,1
experiences,3
patrol,1
9.2,4
techno-functional,2
full-lifecycle,2
ben,1
admin,1
hcm,1
arcgjs,1
detail-orientation,2
officer,1
cpl,1
â§1.20,1
nypd,1
narcotics,4
trafficking,6
money,2
laundry,2
violent,4
hate,4
gangs,2
witness,1
gun,1
buy,1
intimate,1
staten,1
islandâ€™s,1
10-hr,4
physically,7
uneven,4
surfaces,4
climbing,4
flight,4
"â€¢	associateâ€™s",1
"â€¢	qualifying",1
programmer,2
"â€¢	7",1
"â€¢	3",2
4.0/4.5+,4
mvc4+,1
cubes,2
qi,1
q,1
"1.	an",1
"5.	must",1
driversâ€™,2
service:,1
"â€¢	ticket",1
monitoring:,1
queue/email,2
pro-actively,2
"â€¢	hardware/software",1
support:,1
windows/server,1
xp/7/8/10,1
"â€¢	network",1
troubleshooting:,1
"â€¢	wireless/mobile",1
"â€¢	communication",1
collaboration:,1
"â€¢	documentation:",1
"â€¢	special",1
projects:,1
"â€¢	analysis:",1
jurisdictions,2
country,2
custody,2
offender,2
agency-wide,2
japanese,1
farsi,1
vietnamese,1
pashto/dari,1
moves,1
emission,1
cal3qhc/r,1
dispersion,1
aermod,1
stationary,1
dar1,1
toxics,1
tnm,1
2.5,2
assure,2
comptrollers,1
#2,2
2003/2008/2012,2
said,2
excavations,2
demolitions,2
suppression,2
stops,2
egress,2
fieldwork,6
determination,4
testifying,8
violations,4
non-compliance,4
informal,1
instructional,3
copyediting,1
outcome,3
student,5
achievement,1
tenacious,1
propensity,1
persevere,1
mayorâ€™s,1
sta,4
graduate/graduate,1
roi,1
experiential,2
classroom,10
engineering/architectural,2
construction/reconstruction,4
damages,4
take-offs,4
wellbeing,1
"â€¢	5",2
hibernate,1
uml,1
git/,1
subversion/cvs,1
socrata,1
sas/spss,1
self-disciplined,3
imperative,4
bureau-wide,1
sprinkler,2
technically,8
determinations,6
multi-family,6
drawings/plans,6
conducted,6
"css,html",1
"â€¢	strongly",1
dfta,1
"â€¢	prefer",1
white-collar,2
warrant,2
"â€¢	easily",1
growing,2
sectorâ€™s,2
pathways,2
break,1
forward,2
qualifications:,1
management/organizational,1
urban/regional,1
operations/technology,1
secondary,1
must:,1
excellent/high,2
fluently,2
"â€¢	management",1
"â€¢	enterprising",1
"â€¢	energetic",1
effectuate,2
â€œeeoâ€,1
exhibits,2
medium-complexity,2
laborers,2
graphics/pivots,2
merging,2
inferential,2
detailing,2
fatality,4
hseep,1
participation,10
finalization,2
full-scale,4
encompass,4
preparedness/prevention,2
copy,6
manuscripts,4
reviewed,4
published,4
immediate,4
supervisorsâ€™,4
clientsâ€™,4
names,4
affiliations,4
addresses,8
andknowledge,2
creatic,2
familitiarity,1
700,2
800,2
wmd,1
"1.	cdl",1
"2.	hazmat",1
"3.	must",1
volumes,2
hazmat,1
exceptionally,2
sbs's,1
grammar,2
actuarial,2
credential,2
fellow,1
actuaries,1
proval,1
self-motivator,2
convene,2
cross-sector,2
workgroups,2
"â€¢	share",1
"1.	proficiency",1
yearâ€™s,2
elevator,8
leader/,2
and/,2
vehicle's,2
since,2
visited,2
advisories,2
op-eds,2
editors,4
fact-check,2
legislations,2
topics,4
"â€¢	rigorous",1
post-graduate,2
"â€¢	accounting",1
enjoy,2
milestone,2
written/oral,2
acd,1
exony/,1
calabrio,1
tenant,6
coop,1
workshop,2
ta,1
spanish-speaking,1
s3,1
redshift,1
lamda,1
ec2,1
pandas,1
glue,1
"â€¢	past",1
repositories,2
github,1
bitbucket,1
gitlab,1
"â€¢	current",1
â€¢advanced,1
charts/graphs,2
â€¢open,1
technology/systems,2
â€¢flexibility,1
transit-oriented,2
block,1
cdbg-dr,1
â€¢vendor/contract,1
pedestrian,2
ramp,2
motorized,2
metering,2
contingency,4
"â€¢	intricate",1
appointees,2
videos,2
four-year,2
al,1
significate,2
appeared,2
toolset,2
exhibited:,2
self-management,1
intern,2
asked,2
join,2
"â€¢	competent",1
scientists,2
programmatically,2
routine,2
jurisdiction(s,2
dop,1
speaking/teaching,2
lotteries,4
apartments,4
homes,4
gis/mapping,1
interest/familiarity,1
candidates:,2
majoring,4
policy/administration,2
business-related,2
precincts,1
commanding,1
powerpoint:,1
majors,1
2018,5
delinquency,8
prosecution/criminal,1
ada/ausa/aag,1
ss,1
sd,1
st,1
osa,1
ppo,1
rcv,1
mal,1
cmmi,1
iso27001,1
iso20000,1
gcc,1
nfom,1
sas70,1
sox,1
transformational,2
inspires,2
motivates,2
aligns,2
alliances,2
"â€¢	engineering",1
/autocad,1
"â€¢	majors",1
"â€¢	statistical",1
"â€¢	skilled",1
succes,2
conventional,2
position:,2
combustion,4
spray,2
booths,2
dry,2
cleaners,2
measuring,2
impart,2
fleet,1
doctoral,1
genuine,2
dut,3
ies,3
"4.	creative",1
"7.	adobe",1
"8.	knowledge",1
latitude,1
nyc/dep,1
construction/repair,2
means,1
extended,2
â·â ,1
matriculated,2
rising,2
fourth,2
traits,3
4-8-year,2
ëœlanguage,1
communicat,2
microsoft's,1
business/information,1
skills/area,1
"â·	at",1
â tax,1
cta,1
bit,1
"â·	demonstrated",1
twelve,2
lgbtq,1
salary:,1
non-conforming,2
immigrant,2
5-Feb,2
designers,2
"â€¢	obiee",1
erwin,1
odi/informatica,1
8.1/10.0,2
citrix/xen,1
emc/vnx,1
ironport,1
proxy,1
clearswift,1
networker,1
non-legal,2
misclassification,2
taleo-peoplesoft,1
taleo,1
peopletools,1
8.54,2
transitions/onboarding,1
onboarding,1
15.a,1
14b,1
demonstrations,2
oftaleo,1
org,1
olf,1
csw,1
templates,1
requisition,1
questions/skills,1
questionnaire,1
fit/gap,2
taleo/peoplesoft,1
uat,1
ps/query,1
testing/validating,2
group/committee,2
eg,2
locksmith,2
cargo,2
van,2
sec,1
applicantions,1
triage,1
environment.â€¢,4
infrastructure.â€¢,4
systems.â€¢,4
environments.â€¢,4
dns.â€¢,1
goverlan.â€¢,1
contact.â€¢,4
associate's,1
sign,1
login,1
zone,1
pecos,1
solutions-oriented,2
wo,1
sketches,2
high-paced,1
arts/arts,2
briefs,2
services/asset,1
pension/mutual,1
carry/use,2
sop,1
slaâ€™s,1
procedures/databases,1
"1.	college",1
"2.	fluent",1
"4.	valid",1
to.work,1
crew,1
"2.	good",1
"3.	demonstrate",1
transparency,2
legislating,2
sincere,2
equitable,2
resourcefulness,1
4.5,2
media-related,3
teenagers,3
after-school,3
digital/media,3
dissemination,3
docs,1
bts,1
fairtax,1
recreation,3
sport,3
daktronics,1
hy-tek,1
finishlynx,1
"3.	willing",1
inclement,3
"4.	considerable",1
"7.	considerable",1
locate,3
correct,3
malfunctions,3
"10.	skill",1
"11.	ability",1
semi-independently,1
"1.	ability",1
"3.	bachelorâ€™s",1
"4.	proven",1
outdoor,3
hike,3
kayak,3
"7.	valid",1
"3.	certification",1
"6.	proficiency",1
"7.	driver",1
"2.	proactive",1
"7.	a",1
ubt,1
qei,1
substituted,2
â€¢understands,1
combine,2
photos,2
story,2
â€¢capacity,1
honing,2
â€¢discretion,1
â€¢possesses,1
â€¢demonstrates,1
â€¢spanish,1
â€¢video,1
production/editing,2
sprinkler/standpipe,1
"â€¢	maturity",1
poise,2
transparent,2
inclusive,2
"â€¢	capable",1
"""managing",2
"across""",2
"â€¢	people",1
incarceration,2
landcad,1
vectorworks,1
lde-2,1
desktop-based,2
"â€¢	being",1
hra,1
refrigeration,1
rmo,1
unlimited,1
cfce,1
x-pert,1
grand,1
jury,1
proceedings,2
criteria:,2
"â€¢	preferably",1
1000,6
kilo-volt,1
amperes,1
"""kva""",1
alteration,3
altered,3
kva,1
34-05,3
provisions,3
pertains,3
70,3
absorb,1
concepts/training,1
technician,2
supported,2
train,5
2700x,1
editor,2
crane,4
cranes,4
analysis/design,2
asce-7,1
37,2
adept,1
mock-ups,2
"amperes(""kva""",1
candidateâ·must,1
enhancing,2
lims,1
loss,2
written/verbal,2
queensâ€™,1
efficacy,1
multi-disciplined,1
forum,1
consensus-building,1
writing/oral,2
conveying,2
mine,2
dissect,2
papers,2
bias,2
1)a,1
projector,1
extensively,1
suite:,1
court-related,1
accompli,2
patrolman,1
moral,1
citizenship,1
21,1
felony,1
serious,1
offense,1
park,1
ranger,1
beach,1
meticulous,2
keyboard,2
strokes,2
arms,1
sqm,1
easa,1
bsd,1
im,1
migrating,1
premise,1
"â€¢	desire",1
manages,1
coworkers,1
"â€¢	project/program",1
non-it,1
"â€¢	personnel",1
"â€¢	demand",1
"â€¢	information",1
abilities:,1
"â€¢	make",1
push,1
back/move,1
"â€¢	gather",1
"â€¢	communicate",1
"â€¢	generate",1
"â€¢	interact",1
internal/external,1
"â€¢	manage",1
"â€¢	interface",1
year's,2
fidelity,2
managerial/supervisory,1
sufficient,1
outlined,1
reviewers,1
jd/mpa/ms,1
lobbying,2
work-ethic,2
unrestricted,2
promptly,1
hra/irea,1
iris,1
viewer,1
pos,1
acris,1
accis,1
assimilate,1
suspicion,1
surveillances,1
prefers,2
"3.	demonstrated",1
"4.	familiarity",1
hse,1
"4.	proficiency",1
"5.	spanish",1
trained,2
numerical/data,1
"2.	proficiency",1
e-requester,1
rfid,1
tagging,1
"	possess",1
affinity,2
attach,2
nycecc,1
courteous,1
entry/ability,2
prea,1
decrees,2
lexus,1
hpdinfo,1
inmate,4
women's,2
2010/2013/2016,1
e3,1
e5,1
prosecutorial,2
defense,2
30lbs,1
